Project_Year,Survey_Year,Survey_Month,Survey_Date,Region,Habitat,Site_Name,Station,Quadrat,Stony,Colony_Type,ID,ID_2,Diameter
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,18
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,23
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,11
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,19
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,19
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,34
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,23
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,18
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,12
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,10
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,17
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,23
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,9
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,14
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,9
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,19
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,12
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,13
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,29
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,22
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,16
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,28
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,19
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,17
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,17
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,8
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,13
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,11
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,13
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,14
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,17
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,11
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,15
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,30
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,11
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,11
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,24
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,17
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,20
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,21
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,10
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,16
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,11
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,14
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,EFAS,EFAS,9
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-100-197,1,Iso,SMIC,SMIC,29
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-066,1,Juv,SSID,SIDE,32
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-066,1,Juv,SSID,SIDE,14
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-066,1,Juv,SSID,SIDE,29
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-076,1,Iso,CNAT,CNAT,34
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-076,1,Juv,SSID,SIDE,4
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-076,1,Juv,SSID,SIDE,10
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-076,1,Juv,SSID,SIDE,6
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-076,1,Juv,SSID,SIDE,21
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-076,1,Juv,SSID,SIDE,3
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-076,1,Juv,SSID,SIDE,3
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-148,1,Juv,MCAV,MCAV,39
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-148,1,Juv,MCAV,MCAV,7
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-148,1,Juv,SSID,SIDE,16
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-148,1,Juv,SSID,SIDE,5
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-148,1,Juv,SSID,SIDE,5
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-148,1,Juv,SSID,SIDE,12
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-148,1,Juv,SMIC,SMIC,25
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-148,1,Juv,SMIC,SMIC,27
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-196,1,Juv,PAST,PORI,39
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-196,1,Iso,SSID,SIDE,10
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-196,1,Juv,SSID,SIDE,12
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-196,1,Juv,SSID,SIDE,4
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-196,1,Juv,SSID,SIDE,34
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-196,1,Juv,SSID,SIDE,36
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-196,1,Juv,SSID,SIDE,18
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-196,1,Iso,SMIC,SMIC,32
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-196,1,Iso,SMIC,SMIC,18
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-196,1,Iso,SMIC,SMIC,25
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-196,1,Juv,SMIC,SMIC,23
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,261,261-500-196,1,Juv,SMIC,SMIC,22
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-006,0,NA,NA,NA,NA
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-051,1,Juv,ODIF,OCUL,16
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-051,1,Juv,PAME,PAME,10
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-051,1,Juv,PAME,PAME,8
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-051,1,Juv,PAST,PORI,14
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-051,1,Juv,SSID,SIDE,6
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-051,1,Juv,SSID,SIDE,8
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-051,1,Juv,SSID,SIDE,25
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-051,1,Juv,SSID,SIDE,31
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-051,1,Juv,SSID,SIDE,30
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-051,1,Juv,SMIC,SMIC,8
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-051,1,Juv,SMIC,SMIC,36
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-088,1,Juv,MUSS,MUSS,8
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-088,1,Juv,MUSS,MUSS,7
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-088,1,Juv,SCUB,MUSS,8
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-088,1,Juv,PAST,PORI,33
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-088,1,Juv,SSID,SIDE,10
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-088,1,Juv,SSID,SIDE,17
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-088,1,Juv,SSID,SIDE,21
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-088,1,Juv,SSID,SIDE,5
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-088,1,Juv,SSID,SIDE,35
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-088,1,Juv,SSID,SIDE,3
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-088,1,Juv,SSID,SIDE,3
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-088,1,Juv,SSID,SIDE,26
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-088,1,Juv,SSID,SIDE,16
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-088,1,Juv,SSID,SIDE,10
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-088,1,Juv,SSID,SIDE,6
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-088,1,Juv,SMIC,SMIC,20
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-137,1,Juv,SCUB,MUSS,17
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-137,1,Juv,SSID,SIDE,18
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-100-137,1,Juv,SSID,SIDE,3
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-040,1,Juv,CNAT,CNAT,8
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-040,1,Juv,PAST,PORI,18
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-040,1,Juv,PAST,PORI,29
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-040,1,Uns,SSID,SIDE,17
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-040,1,Juv,SSID,SIDE,7
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-069,1,Juv,MCAV,MCAV,27
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-069,1,Juv,MCAV,MCAV,9
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-069,1,Juv,MUSS,MUSS,7
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-069,1,Juv,PAST,PORI,25
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-069,1,Juv,SSID,SIDE,5
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-069,1,Juv,SSID,SIDE,6
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-069,1,Juv,SSID,SIDE,10
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-069,1,Juv,SSID,SIDE,9
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-069,1,Juv,SSID,SIDE,25
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-069,1,Juv,SSID,SIDE,24
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-069,1,Juv,SSID,SIDE,2
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-069,1,Juv,SSID,SIDE,6
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-069,1,Juv,SSID,SIDE,4
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-069,1,Juv,SSID,SIDE,3
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-069,1,Juv,SMIC,SMIC,15
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-069,1,Juv,SMIC,SMIC,10
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-115,1,Juv,EFAS,EFAS,8
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-115,1,Juv,PAST,PORI,24
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-115,1,Juv,PAST,PORI,10
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-115,1,Juv,SSID,SIDE,3
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-115,1,Juv,SSID,SIDE,3
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-115,1,Juv,SSID,SIDE,17
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-115,1,Juv,SSID,SIDE,20
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-115,1,Juv,SSID,SIDE,27
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-115,1,Juv,SSID,SIDE,5
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-115,1,Juv,SMIC,SMIC,7
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-115,1,Juv,SMIC,SMIC,37
2015,2015,Sept,9/26/2015,LK,P,Red Dun Reef,262,262-500-115,1,Juv,SMIC,SMIC,35
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,262,262-500-219,1,Juv,MCAV,MCAV,9
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,262,262-500-219,1,Juv,MCAV,MCAV,14
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,262,262-500-219,1,Juv,SCUB,MUSS,10
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,262,262-500-219,1,Juv,SSID,SIDE,11
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,262,262-500-219,1,Juv,SSID,SIDE,33
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,262,262-500-219,1,Juv,SSID,SIDE,10
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,262,262-500-219,1,Juv,SSID,SIDE,3
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,262,262-500-219,1,Juv,SSID,SIDE,9
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,262,262-500-219,1,Juv,SSID,SIDE,26
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,262,262-500-219,1,Juv,SSID,SIDE,27
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,262,262-500-219,1,Juv,SSID,SIDE,12
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,262,262-500-219,1,Juv,SSID,SIDE,23
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,262,262-500-219,1,Juv,SSID,SIDE,7
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,262,262-500-219,1,Juv,SMIC,SMIC,19
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,262,262-500-219,1,Juv,SMIC,SMIC,20
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,262,262-500-219,1,Juv,SMIC,SMIC,33
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,262,262-500-219,1,Juv,SMIC,SMIC,4
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-100-000,1,Juv,MCAV,MCAV,6
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-100-000,1,Juv,SSID,SIDE,31
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-100-000,1,Juv,SSID,SIDE,5
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-100-000,1,Juv,SMIC,SMIC,25
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-100-028,1,Iso,SSID,SIDE,18
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-100-028,1,Juv,SMIC,SMIC,18
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-100-083,1,Juv,PAST,PORI,19
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-100-083,1,Juv,SSID,SIDE,12
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-100-083,1,Juv,SSID,SIDE,4
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-100-083,1,Juv,SSID,SIDE,11
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-100-083,1,Juv,SSID,SIDE,24
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-100-083,1,Juv,SSID,SIDE,8
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-100-181,1,Juv,PAME,PAME,11
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-100-181,1,Juv,PAST,PORI,13
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-100-181,1,Juv,SSID,SIDE,8
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-100-181,1,Juv,SSID,SIDE,9
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-100-181,1,Juv,SMIC,SMIC,26
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-100-181,1,Juv,SMIC,SMIC,9
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-015,1,Juv,SSID,SIDE,6
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-015,1,Juv,SMIC,SMIC,9
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-118,1,Juv,PAST,PORI,29
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-118,1,Juv,PAST,PORI,24
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-118,1,Juv,PAST,PORI,14
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-118,1,Juv,PAST,PORI,15
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-118,1,Juv,PAST,PORI,37
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-118,1,Juv,PAST,PORI,17
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-118,1,Juv,SSID,SIDE,7
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-118,1,Juv,SSID,SIDE,8
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-118,1,Juv,SSID,SIDE,4
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-118,1,Juv,SSID,SIDE,7
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-118,1,Juv,SSID,SIDE,9
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-118,1,Juv,SSID,SIDE,11
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-118,1,Juv,SSID,SIDE,9
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-118,1,Juv,SSID,SIDE,10
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-137,1,Juv,MCAV,MCAV,17
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-137,1,Iso,ORBI,ORBI,32
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-137,1,Iso,ORBI,ORBI,12
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-137,1,Juv,PAST,PORI,12
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-137,1,Juv,PAST,PORI,10
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-137,1,Juv,PAST,PORI,12
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-137,1,Juv,PPOR,PORI,22
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-137,1,Juv,SSID,SIDE,11
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-137,1,Juv,SSID,SIDE,4
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-137,1,Juv,SSID,SIDE,32
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-137,1,Juv,SSID,SIDE,8
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-158,1,Juv,SSID,SIDE,35
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-158,1,Juv,SSID,SIDE,24
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,263,263-500-158,1,Juv,SMIC,SMIC,15
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,264,264-100-025,1,Juv,SSID,SIDE,4
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,264,264-100-025,1,Juv,SSID,SIDE,4
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,264,264-100-025,1,Juv,SMIC,SMIC,8
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,264,264-100-025,1,Juv,SMIC,SMIC,39
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,264,264-100-025,1,Juv,UNKS,UNKS,7
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,264,264-100-069,1,Juv,DSTO,DSTO,14
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,264,264-100-069,1,Juv,SSID,SIDE,9
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,264,264-100-069,1,Juv,SSID,SIDE,13
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,264,264-100-069,1,Juv,SSID,SIDE,24
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,264,264-100-069,1,Juv,SSID,SIDE,34
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,264,264-100-069,1,Juv,SSID,SIDE,27
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,264,264-100-069,1,Juv,SMIC,SMIC,22
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,264,264-100-069,1,Juv,SMIC,SMIC,20
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,264,264-100-069,1,Juv,UNKS,UNKS,4
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,264,264-100-091,1,Iso,CNAT,CNAT,33
2015,2015,Sept,9/25/2015,LK,P,Red Dun Reef,264,264-100-091,1,Juv,SSID,SIDE,27
