"cover_year","recruit_year","region","habitat","site_name","taxa","density"
2015,2016,"MK","OS","Tennessee Shallow","PORI",6.8
2015,2016,"MK","OS","Tennessee Shallow","SIDE",2.4
2015,2016,"MK","OS","Tennessee Shallow","UNKS",0
2015,2016,"MK","P","Dustan Rocks","AGAR",0.3
2015,2016,"MK","P","Dustan Rocks","FAVI",8.7
2015,2016,"MK","P","Dustan Rocks","Other",11.7
2015,2016,"MK","P","Dustan Rocks","PORI",8.1
2015,2016,"MK","P","Dustan Rocks","SIDE",14.8
2015,2016,"MK","P","Dustan Rocks","UNKS",0
2015,2016,"MK","P","West Turtle Shoal","AGAR",1.3
2015,2016,"MK","P","West Turtle Shoal","FAVI",12
2015,2016,"MK","P","West Turtle Shoal","Other",15.1
2015,2016,"MK","P","West Turtle Shoal","PORI",9.7
2015,2016,"MK","P","West Turtle Shoal","SIDE",21.9
2015,2016,"MK","P","West Turtle Shoal","UNKS",0
2015,2016,"UK","OD","Carysfort Deep","AGAR",9.1
2015,2016,"UK","OD","Carysfort Deep","FAVI",3.5
2015,2016,"UK","OD","Carysfort Deep","Other",3.6
2015,2016,"UK","OD","Carysfort Deep","PORI",5.7
2015,2016,"UK","OD","Carysfort Deep","SIDE",3.4
2015,2016,"UK","OD","Carysfort Deep","UNKS",0
2015,2016,"UK","OD","Molasses Deep","AGAR",6.4
2015,2016,"UK","OD","Molasses Deep","FAVI",2.9
2015,2016,"UK","OD","Molasses Deep","Other",2
2015,2016,"UK","OD","Molasses Deep","PORI",5
2015,2016,"UK","OD","Molasses Deep","SIDE",4.9
2015,2016,"UK","OD","Molasses Deep","UNKS",0
2015,2016,"UK","OS","Carysfort Shallow","AGAR",4.4
2015,2016,"UK","OS","Carysfort Shallow","FAVI",0.2
2015,2016,"UK","OS","Carysfort Shallow","Other",0
2015,2016,"UK","OS","Carysfort Shallow","PORI",17.9
2015,2016,"UK","OS","Carysfort Shallow","SIDE",0.1
2015,2016,"UK","OS","Carysfort Shallow","UNKS",0
2015,2016,"UK","OS","Molasses Shallow","AGAR",3.4
2015,2016,"UK","OS","Molasses Shallow","FAVI",0.8
2015,2016,"UK","OS","Molasses Shallow","Other",1.4
2015,2016,"UK","OS","Molasses Shallow","PORI",2.6
2015,2016,"UK","OS","Molasses Shallow","SIDE",4.4
2015,2016,"UK","OS","Molasses Shallow","UNKS",0
2015,2016,"UK","P","Admiral","AGAR",0.1
2015,2016,"UK","P","Admiral","FAVI",1
2015,2016,"UK","P","Admiral","Other",0.3
2015,2016,"UK","P","Admiral","PORI",1.1
2015,2016,"UK","P","Admiral","SIDE",2.3
2015,2016,"UK","P","Admiral","UNKS",0
2015,2016,"UK","P","Porter Patch","AGAR",1.8
2015,2016,"UK","P","Porter Patch","FAVI",0.9
2015,2016,"UK","P","Porter Patch","Other",2.3
2015,2016,"UK","P","Porter Patch","PORI",5.3
2015,2016,"UK","P","Porter Patch","SIDE",7.2
2015,2016,"UK","P","Porter Patch","UNKS",0
2016,2017,"LK","OD","Sand Key Deep","AGAR",0.3
2016,2017,"LK","OD","Sand Key Deep","FAVI",1.6
2016,2017,"LK","OD","Sand Key Deep","Other",2.9
2016,2017,"LK","OD","Sand Key Deep","PORI",2.8
2016,2017,"LK","OD","Sand Key Deep","SIDE",9.6
2016,2017,"LK","OD","Sand Key Deep","UNKS",0
2016,2017,"LK","OD","Western Sambo Deep","AGAR",0.5
2016,2017,"LK","OD","Western Sambo Deep","FAVI",1.3
2016,2017,"LK","OD","Western Sambo Deep","Other",2.7
2016,2017,"LK","OD","Western Sambo Deep","PORI",1.5
2016,2017,"LK","OD","Western Sambo Deep","SIDE",8.7
2016,2017,"LK","OD","Western Sambo Deep","UNKS",0
2016,2017,"LK","OS","Sand Key Shallow","AGAR",2.6
2016,2017,"LK","OS","Sand Key Shallow","FAVI",1.6
2016,2017,"LK","OS","Sand Key Shallow","Other",0.2
2016,2017,"LK","OS","Sand Key Shallow","PORI",9
2016,2017,"LK","OS","Sand Key Shallow","SIDE",4
2016,2017,"LK","OS","Sand Key Shallow","UNKS",0
2016,2017,"LK","OS","Western Sambo Shallow","AGAR",1.9
2016,2017,"LK","OS","Western Sambo Shallow","FAVI",0.6
2016,2017,"LK","OS","Western Sambo Shallow","Other",0.1
2016,2017,"LK","OS","Western Sambo Shallow","PORI",10.1
2016,2017,"LK","OS","Western Sambo Shallow","SIDE",5.4
2016,2017,"LK","OS","Western Sambo Shallow","UNKS",0
2016,2017,"LK","P","Red Dun Reef","AGAR",0.1
2016,2017,"LK","P","Red Dun Reef","FAVI",8.9
2016,2017,"LK","P","Red Dun Reef","Other",18.7
2016,2017,"LK","P","Red Dun Reef","PORI",3.5
2016,2017,"LK","P","Red Dun Reef","SIDE",24.4
2016,2017,"LK","P","Red Dun Reef","UNKS",0
2016,2017,"LK","P","West Washerwoman","AGAR",0.5
2016,2017,"LK","P","West Washerwoman","FAVI",13.4
2016,2017,"LK","P","West Washerwoman","Other",14.8
2016,2017,"LK","P","West Washerwoman","PORI",5.3
2016,2017,"LK","P","West Washerwoman","SIDE",19.8
2016,2017,"LK","P","West Washerwoman","UNKS",0
2016,2017,"MK","OD","Sombrero Deep","AGAR",4.5
2016,2017,"MK","OD","Sombrero Deep","FAVI",2
2016,2017,"MK","OD","Sombrero Deep","Other",9.5
2016,2017,"MK","OD","Sombrero Deep","PORI",4.5
2016,2017,"MK","OD","Sombrero Deep","SIDE",12.5
2016,2017,"MK","OD","Sombrero Deep","UNKS",0
2016,2017,"MK","OD","Tennessee Deep","AGAR",1.4
2016,2017,"MK","OD","Tennessee Deep","FAVI",2.5
2016,2017,"MK","OD","Tennessee Deep","Other",5.9
2016,2017,"MK","OD","Tennessee Deep","PORI",5.7
2016,2017,"MK","OD","Tennessee Deep","SIDE",12.9
2016,2017,"MK","OD","Tennessee Deep","UNKS",0
2016,2017,"MK","OS","Sombrero Shallow","AGAR",1.3
2016,2017,"MK","OS","Sombrero Shallow","FAVI",1.2
2016,2017,"MK","OS","Sombrero Shallow","Other",0.4
2016,2017,"MK","OS","Sombrero Shallow","PORI",2.6
2016,2017,"MK","OS","Sombrero Shallow","SIDE",3.9
2016,2017,"MK","OS","Sombrero Shallow","UNKS",0
2016,2017,"MK","OS","Tennessee Shallow","AGAR",0
2016,2017,"MK","OS","Tennessee Shallow","FAVI",1.1
2016,2017,"MK","OS","Tennessee Shallow","Other",1.5
2016,2017,"MK","OS","Tennessee Shallow","PORI",6.4
2016,2017,"MK","OS","Tennessee Shallow","SIDE",2
2016,2017,"MK","OS","Tennessee Shallow","UNKS",0
2016,2017,"MK","P","Dustan Rocks","AGAR",0.2
2016,2017,"MK","P","Dustan Rocks","FAVI",8.4
2016,2017,"MK","P","Dustan Rocks","Other",12.8
2016,2017,"MK","P","Dustan Rocks","PORI",8.4
2016,2017,"MK","P","Dustan Rocks","SIDE",16.1
2016,2017,"MK","P","Dustan Rocks","UNKS",0
2016,2017,"MK","P","West Turtle Shoal","AGAR",2.1
2016,2017,"MK","P","West Turtle Shoal","FAVI",11.6
2016,2017,"MK","P","West Turtle Shoal","Other",16.6
2016,2017,"MK","P","West Turtle Shoal","PORI",10.8
2016,2017,"MK","P","West Turtle Shoal","SIDE",27.2
2016,2017,"MK","P","West Turtle Shoal","UNKS",0
2016,2017,"UK","OD","Carysfort Deep","AGAR",8.6
2016,2017,"UK","OD","Carysfort Deep","FAVI",3.1
2016,2017,"UK","OD","Carysfort Deep","Other",3
2016,2017,"UK","OD","Carysfort Deep","PORI",4.7
2016,2017,"UK","OD","Carysfort Deep","SIDE",3.7
2016,2017,"UK","OD","Carysfort Deep","UNKS",0
2016,2017,"UK","OD","Molasses Deep","AGAR",4.2
2016,2017,"UK","OD","Molasses Deep","FAVI",2.7
2016,2017,"UK","OD","Molasses Deep","Other",2.7
2016,2017,"UK","OD","Molasses Deep","PORI",5.2
2016,2017,"UK","OD","Molasses Deep","SIDE",4.8
2016,2017,"UK","OD","Molasses Deep","UNKS",0
2016,2017,"UK","OS","Carysfort Shallow","AGAR",3.8
2016,2017,"UK","OS","Carysfort Shallow","FAVI",0
2016,2017,"UK","OS","Carysfort Shallow","Other",0
2016,2017,"UK","OS","Carysfort Shallow","PORI",18.5
2016,2017,"UK","OS","Carysfort Shallow","SIDE",0.2
2016,2017,"UK","OS","Carysfort Shallow","UNKS",0
2016,2017,"UK","OS","Molasses Shallow","AGAR",4.2
2016,2017,"UK","OS","Molasses Shallow","FAVI",0.8
2016,2017,"UK","OS","Molasses Shallow","Other",1.3
2016,2017,"UK","OS","Molasses Shallow","PORI",2.3
2016,2017,"UK","OS","Molasses Shallow","SIDE",3.9
2016,2017,"UK","OS","Molasses Shallow","UNKS",0
2016,2017,"UK","P","Admiral","AGAR",0.3
2016,2017,"UK","P","Admiral","FAVI",1.3
2016,2017,"UK","P","Admiral","Other",0.1
2016,2017,"UK","P","Admiral","PORI",1.3
2016,2017,"UK","P","Admiral","SIDE",2.8
2016,2017,"UK","P","Admiral","UNKS",0
2016,2017,"UK","P","Porter Patch","AGAR",1.2
2016,2017,"UK","P","Porter Patch","FAVI",0.7
2016,2017,"UK","P","Porter Patch","Other",2.8
2016,2017,"UK","P","Porter Patch","PORI",3.3
2016,2017,"UK","P","Porter Patch","SIDE",7.4
2016,2017,"UK","P","Porter Patch","UNKS",0
2015,2016,"BC","Inner","BC4","AGAR",0.7
2015,2016,"BC","Inner","BC4","FAVI",1.4
2015,2016,"BC","Inner","BC4","Other",2.1
2015,2016,"BC","Inner","BC4","PORI",9
2015,2016,"BC","Inner","BC4","SIDE",2.2
2015,2016,"BC","Middle","BC2","AGAR",0
2015,2016,"BC","Middle","BC2","FAVI",0.3
2015,2016,"BC","Middle","BC2","Other",0.6
2015,2016,"BC","Middle","BC2","PORI",0.2
2015,2016,"BC","Middle","BC2","SIDE",1
2015,2016,"BC","Nearshore","BC1","AGAR",0
2015,2016,"BC","Nearshore","BC1","FAVI",5.1
2015,2016,"BC","Nearshore","BC1","Other",1.2
2015,2016,"BC","Nearshore","BC1","PORI",0.5
2015,2016,"BC","Nearshore","BC1","SIDE",0.6
2015,2016,"BC","Outer","BC3","AGAR",0
2015,2016,"BC","Outer","BC3","FAVI",0.4
2015,2016,"BC","Outer","BC3","Other",0.8
2015,2016,"BC","Outer","BC3","PORI",0.2
2015,2016,"BC","Outer","BC3","SIDE",0.5
2015,2016,"DC","Inner","DC1","AGAR",0.1
2015,2016,"DC","Inner","DC1","FAVI",1
2015,2016,"DC","Inner","DC1","Other",0.9
2015,2016,"DC","Inner","DC1","PORI",4
2015,2016,"DC","Inner","DC1","SIDE",2
2015,2016,"DC","Inner","DC5","AGAR",4.7
2015,2016,"DC","Inner","DC5","FAVI",0.3
2015,2016,"DC","Inner","DC5","Other",0.4
2015,2016,"DC","Inner","DC5","PORI",2.4
2015,2016,"DC","Inner","DC5","SIDE",0.7
2015,2016,"DC","Middle","DC2","AGAR",0
2015,2016,"DC","Middle","DC2","FAVI",0.1
2015,2016,"DC","Middle","DC2","Other",2.2
2015,2016,"DC","Middle","DC2","PORI",0.1
2015,2016,"DC","Middle","DC2","SIDE",1.1
2015,2016,"DC","Middle","DC7","AGAR",0
2015,2016,"DC","Middle","DC7","FAVI",0.5
2015,2016,"DC","Middle","DC7","Other",2.5
2015,2016,"DC","Middle","DC7","PORI",0.2
2015,2016,"DC","Middle","DC7","SIDE",0.6
2015,2016,"DC","Nearshore","DC6","AGAR",0
2015,2016,"DC","Nearshore","DC6","FAVI",0.5
2015,2016,"DC","Nearshore","DC6","Other",0.5
2015,2016,"DC","Nearshore","DC6","PORI",4.2
2015,2016,"DC","Nearshore","DC6","SIDE",0.3
2015,2016,"DC","Nearshore","DC8","AGAR",0
2015,2016,"DC","Nearshore","DC8","FAVI",0.5
2015,2016,"DC","Nearshore","DC8","Other",1.7
2015,2016,"DC","Nearshore","DC8","PORI",0.1
2015,2016,"DC","Nearshore","DC8","SIDE",0.9
2015,2016,"DC","Outer","DC3","AGAR",0
2015,2016,"DC","Outer","DC3","FAVI",0.2
2015,2016,"DC","Outer","DC3","Other",0.1
2015,2016,"DC","Outer","DC3","PORI",0.1
2015,2016,"DC","Outer","DC3","SIDE",0.3
2015,2016,"DC","Outer","DC4","AGAR",0.1
2015,2016,"DC","Outer","DC4","FAVI",0.5
2015,2016,"DC","Outer","DC4","Other",0.4
2015,2016,"DC","Outer","DC4","PORI",0.6
2015,2016,"DC","Outer","DC4","SIDE",1.1
2016,2017,"BC","Inner","BC4","AGAR",0.3
2016,2017,"BC","Inner","BC4","FAVI",1
2016,2017,"BC","Inner","BC4","Other",1.1
2016,2017,"BC","Inner","BC4","PORI",9.1
2016,2017,"BC","Inner","BC4","SIDE",1.9
2016,2017,"BC","Middle","BC2","AGAR",0
2016,2017,"BC","Middle","BC2","FAVI",0
2016,2017,"BC","Middle","BC2","Other",0.5
2016,2017,"BC","Middle","BC2","PORI",0.3
2016,2017,"BC","Middle","BC2","SIDE",0.7
2016,2017,"BC","Nearshore","BC1","AGAR",0.2
2016,2017,"BC","Nearshore","BC1","FAVI",3.8
2016,2017,"BC","Nearshore","BC1","Other",0.9
2016,2017,"BC","Nearshore","BC1","PORI",0.7
2016,2017,"BC","Nearshore","BC1","SIDE",0.6
2016,2017,"BC","Outer","BC3","AGAR",0
2016,2017,"BC","Outer","BC3","FAVI",0.3
2016,2017,"BC","Outer","BC3","Other",0.3
2016,2017,"BC","Outer","BC3","PORI",0.3
2016,2017,"BC","Outer","BC3","SIDE",0.4
2016,2017,"DC","Inner","DC1","AGAR",0.1
2016,2017,"DC","Inner","DC1","FAVI",1.1
2016,2017,"DC","Inner","DC1","Other",0.9
2016,2017,"DC","Inner","DC1","PORI",5.3
2016,2017,"DC","Inner","DC1","SIDE",1.8
2016,2017,"DC","Inner","DC5","AGAR",4.9
2016,2017,"DC","Inner","DC5","FAVI",0.1
2016,2017,"DC","Inner","DC5","Other",0.4
2016,2017,"DC","Inner","DC5","PORI",3
2016,2017,"DC","Inner","DC5","SIDE",0.8
2016,2017,"DC","Middle","DC2","AGAR",0
2016,2017,"DC","Middle","DC2","FAVI",0.1
2016,2017,"DC","Middle","DC2","Other",1.5
2016,2017,"DC","Middle","DC2","PORI",0.2
2016,2017,"DC","Middle","DC2","SIDE",1
2016,2017,"DC","Middle","DC7","AGAR",0
2016,2017,"DC","Middle","DC7","FAVI",0.1
2016,2017,"DC","Middle","DC7","Other",1.4
2016,2017,"DC","Middle","DC7","PORI",0.2
2016,2017,"DC","Middle","DC7","SIDE",0.4
2016,2017,"DC","Nearshore","DC6","AGAR",0.1
2016,2017,"DC","Nearshore","DC6","FAVI",0.5
2016,2017,"DC","Nearshore","DC6","Other",0.2
2016,2017,"DC","Nearshore","DC6","PORI",4.4
2016,2017,"DC","Nearshore","DC6","SIDE",0.2
2016,2017,"DC","Nearshore","DC8","AGAR",0
2016,2017,"DC","Nearshore","DC8","FAVI",0.3
2016,2017,"DC","Nearshore","DC8","Other",0.7
2016,2017,"DC","Nearshore","DC8","PORI",0.1
2016,2017,"DC","Nearshore","DC8","SIDE",0.7
2016,2017,"DC","Outer","DC3","AGAR",0
2016,2017,"DC","Outer","DC3","FAVI",0.3
2016,2017,"DC","Outer","DC3","Other",0.2
2016,2017,"DC","Outer","DC3","PORI",0.2
2016,2017,"DC","Outer","DC3","SIDE",0.1
2016,2017,"DC","Outer","DC4","AGAR",0
2016,2017,"DC","Outer","DC4","FAVI",0.1
2016,2017,"DC","Outer","DC4","Other",0.5
2016,2017,"DC","Outer","DC4","PORI",0.6
2016,2017,"DC","Outer","DC4","SIDE",0.6
